================================================================================
Training Started
Device: cpu
Learning Rate: 1e-05
Epochs: 300
================================================================================

[2026-02-13 22:11:33] Epoch 201/300 | Train Loss=1.3007, Acc=0.6302, F1=0.6210 | Dev Loss=1.2798, Acc=0.6653, F1=0.6520
[2026-02-13 22:11:38] Epoch 202/300 | Train Loss=1.3091, Acc=0.6274, F1=0.6194 | Dev Loss=1.2796, Acc=0.6653, F1=0.6537BEST
[2026-02-13 22:11:42] Epoch 203/300 | Train Loss=1.2972, Acc=0.6354, F1=0.6287 | Dev Loss=1.2778, Acc=0.6694, F1=0.6565BEST
[2026-02-13 22:11:47] Epoch 204/300 | Train Loss=1.3035, Acc=0.6281, F1=0.6195 | Dev Loss=1.2727, Acc=0.6722, F1=0.6608BEST
[2026-02-13 22:11:52] Epoch 205/300 | Train Loss=1.2969, Acc=0.6361, F1=0.6292 | Dev Loss=1.2708, Acc=0.6681, F1=0.6561
[2026-02-13 22:11:56] Epoch 206/300 | Train Loss=1.2878, Acc=0.6365, F1=0.6294 | Dev Loss=1.2698, Acc=0.6722, F1=0.6590
[2026-02-13 22:12:01] Epoch 207/300 | Train Loss=1.2999, Acc=0.6444, F1=0.6371 | Dev Loss=1.2651, Acc=0.6681, F1=0.6564
[2026-02-13 22:12:05] Epoch 208/300 | Train Loss=1.2927, Acc=0.6330, F1=0.6258 | Dev Loss=1.2698, Acc=0.6639, F1=0.6535
[2026-02-13 22:12:10] Epoch 209/300 | Train Loss=1.2834, Acc=0.6372, F1=0.6314 | Dev Loss=1.2677, Acc=0.6694, F1=0.6596
[2026-02-13 22:12:15] Epoch 210/300 | Train Loss=1.2946, Acc=0.6337, F1=0.6271 | Dev Loss=1.2627, Acc=0.6694, F1=0.6573
[2026-02-13 22:12:19] Epoch 211/300 | Train Loss=1.2930, Acc=0.6375, F1=0.6304 | Dev Loss=1.2668, Acc=0.6653, F1=0.6558
[2026-02-13 22:12:24] Epoch 212/300 | Train Loss=1.2844, Acc=0.6330, F1=0.6254 | Dev Loss=1.2627, Acc=0.6681, F1=0.6584
[2026-02-13 22:12:28] Epoch 213/300 | Train Loss=1.2911, Acc=0.6368, F1=0.6306 | Dev Loss=1.2599, Acc=0.6722, F1=0.6633BEST
[2026-02-13 22:12:33] Epoch 214/300 | Train Loss=1.2722, Acc=0.6451, F1=0.6392 | Dev Loss=1.2556, Acc=0.6694, F1=0.6582
[2026-02-13 22:12:38] Epoch 215/300 | Train Loss=1.2854, Acc=0.6396, F1=0.6306 | Dev Loss=1.2540, Acc=0.6778, F1=0.6686BEST
[2026-02-13 22:12:42] Epoch 216/300 | Train Loss=1.2824, Acc=0.6340, F1=0.6271 | Dev Loss=1.2512, Acc=0.6708, F1=0.6586
[2026-02-13 22:12:47] Epoch 217/300 | Train Loss=1.2735, Acc=0.6483, F1=0.6424 | Dev Loss=1.2538, Acc=0.6819, F1=0.6680
[2026-02-13 22:12:51] Epoch 218/300 | Train Loss=1.2783, Acc=0.6500, F1=0.6437 | Dev Loss=1.2481, Acc=0.6764, F1=0.6634
[2026-02-13 22:12:56] Epoch 219/300 | Train Loss=1.2665, Acc=0.6517, F1=0.6457 | Dev Loss=1.2480, Acc=0.6764, F1=0.6649
[2026-02-13 22:13:00] Epoch 220/300 | Train Loss=1.2639, Acc=0.6573, F1=0.6512 | Dev Loss=1.2475, Acc=0.6694, F1=0.6588
[2026-02-13 22:13:05] Epoch 221/300 | Train Loss=1.2700, Acc=0.6528, F1=0.6471 | Dev Loss=1.2441, Acc=0.6792, F1=0.6696BEST
[2026-02-13 22:13:10] Epoch 222/300 | Train Loss=1.2658, Acc=0.6576, F1=0.6518 | Dev Loss=1.2418, Acc=0.6764, F1=0.6627
[2026-02-13 22:13:14] Epoch 223/300 | Train Loss=1.2605, Acc=0.6476, F1=0.6400 | Dev Loss=1.2373, Acc=0.6792, F1=0.6691
[2026-02-13 22:13:19] Epoch 224/300 | Train Loss=1.2636, Acc=0.6524, F1=0.6471 | Dev Loss=1.2411, Acc=0.6708, F1=0.6561
[2026-02-13 22:13:23] Epoch 225/300 | Train Loss=1.2641, Acc=0.6576, F1=0.6518 | Dev Loss=1.2364, Acc=0.6750, F1=0.6643
[2026-02-13 22:13:28] Epoch 226/300 | Train Loss=1.2527, Acc=0.6677, F1=0.6630 | Dev Loss=1.2316, Acc=0.6750, F1=0.6624
[2026-02-13 22:13:32] Epoch 227/300 | Train Loss=1.2580, Acc=0.6639, F1=0.6587 | Dev Loss=1.2348, Acc=0.6819, F1=0.6704BEST
[2026-02-13 22:13:37] Epoch 228/300 | Train Loss=1.2598, Acc=0.6549, F1=0.6482 | Dev Loss=1.2321, Acc=0.6806, F1=0.6708BEST
[2026-02-13 22:13:41] Epoch 229/300 | Train Loss=1.2521, Acc=0.6653, F1=0.6594 | Dev Loss=1.2303, Acc=0.6833, F1=0.6725BEST
[2026-02-13 22:13:46] Epoch 230/300 | Train Loss=1.2512, Acc=0.6632, F1=0.6563 | Dev Loss=1.2253, Acc=0.6847, F1=0.6756BEST
[2026-02-13 22:13:51] Epoch 231/300 | Train Loss=1.2517, Acc=0.6531, F1=0.6485 | Dev Loss=1.2271, Acc=0.6833, F1=0.6707
[2026-02-13 22:13:55] Epoch 232/300 | Train Loss=1.2512, Acc=0.6608, F1=0.6553 | Dev Loss=1.2253, Acc=0.6833, F1=0.6734
[2026-02-13 22:14:00] Epoch 233/300 | Train Loss=1.2426, Acc=0.6635, F1=0.6581 | Dev Loss=1.2246, Acc=0.6847, F1=0.6745
[2026-02-13 22:14:04] Epoch 234/300 | Train Loss=1.2432, Acc=0.6601, F1=0.6543 | Dev Loss=1.2226, Acc=0.6806, F1=0.6664
[2026-02-13 22:14:09] Epoch 235/300 | Train Loss=1.2453, Acc=0.6639, F1=0.6588 | Dev Loss=1.2195, Acc=0.6861, F1=0.6772BEST
[2026-02-13 22:14:13] Epoch 236/300 | Train Loss=1.2470, Acc=0.6625, F1=0.6576 | Dev Loss=1.2170, Acc=0.6861, F1=0.6767
[2026-02-13 22:14:18] Epoch 237/300 | Train Loss=1.2398, Acc=0.6618, F1=0.6570 | Dev Loss=1.2198, Acc=0.6889, F1=0.6797BEST
[2026-02-13 22:14:22] Epoch 238/300 | Train Loss=1.2313, Acc=0.6757, F1=0.6720 | Dev Loss=1.2146, Acc=0.6875, F1=0.6780
[2026-02-13 22:14:27] Epoch 239/300 | Train Loss=1.2407, Acc=0.6694, F1=0.6642 | Dev Loss=1.2148, Acc=0.6875, F1=0.6784
[2026-02-13 22:14:31] Epoch 240/300 | Train Loss=1.2427, Acc=0.6646, F1=0.6607 | Dev Loss=1.2124, Acc=0.6944, F1=0.6866BEST
[2026-02-13 22:14:36] Epoch 241/300 | Train Loss=1.2366, Acc=0.6719, F1=0.6668 | Dev Loss=1.2170, Acc=0.6889, F1=0.6770
[2026-02-13 22:14:40] Epoch 242/300 | Train Loss=1.2327, Acc=0.6774, F1=0.6717 | Dev Loss=1.2067, Acc=0.6931, F1=0.6850
[2026-02-13 22:14:45] Epoch 243/300 | Train Loss=1.2300, Acc=0.6684, F1=0.6631 | Dev Loss=1.2064, Acc=0.6833, F1=0.6741
[2026-02-13 22:14:50] Epoch 244/300 | Train Loss=1.2283, Acc=0.6694, F1=0.6655 | Dev Loss=1.2047, Acc=0.6958, F1=0.6865
[2026-02-13 22:14:54] Epoch 245/300 | Train Loss=1.2243, Acc=0.6788, F1=0.6737 | Dev Loss=1.2038, Acc=0.6833, F1=0.6738
[2026-02-13 22:14:59] Epoch 246/300 | Train Loss=1.2310, Acc=0.6687, F1=0.6656 | Dev Loss=1.2024, Acc=0.6903, F1=0.6799
[2026-02-13 22:15:03] Epoch 247/300 | Train Loss=1.2192, Acc=0.6757, F1=0.6714 | Dev Loss=1.1994, Acc=0.6958, F1=0.6881BEST
[2026-02-13 22:15:08] Epoch 248/300 | Train Loss=1.2315, Acc=0.6726, F1=0.6683 | Dev Loss=1.2034, Acc=0.6889, F1=0.6775
[2026-02-13 22:15:13] Epoch 249/300 | Train Loss=1.2264, Acc=0.6809, F1=0.6763 | Dev Loss=1.2005, Acc=0.6847, F1=0.6755
[2026-02-13 22:15:17] Epoch 250/300 | Train Loss=1.2230, Acc=0.6684, F1=0.6636 | Dev Loss=1.1962, Acc=0.6903, F1=0.6802
[2026-02-13 22:15:22] Epoch 251/300 | Train Loss=1.2168, Acc=0.6701, F1=0.6664 | Dev Loss=1.1954, Acc=0.6958, F1=0.6862
[2026-02-13 22:15:26] Epoch 252/300 | Train Loss=1.2157, Acc=0.6906, F1=0.6869 | Dev Loss=1.1989, Acc=0.6861, F1=0.6760
[2026-02-13 22:15:31] Epoch 253/300 | Train Loss=1.2135, Acc=0.6816, F1=0.6768 | Dev Loss=1.1951, Acc=0.7000, F1=0.6933BEST
[2026-02-13 22:15:35] Epoch 254/300 | Train Loss=1.2154, Acc=0.6799, F1=0.6757 | Dev Loss=1.1937, Acc=0.6889, F1=0.6792
[2026-02-13 22:15:40] Epoch 255/300 | Train Loss=1.2105, Acc=0.6844, F1=0.6808 | Dev Loss=1.1901, Acc=0.6972, F1=0.6877
[2026-02-13 22:15:44] Epoch 256/300 | Train Loss=1.2080, Acc=0.6872, F1=0.6837 | Dev Loss=1.1887, Acc=0.6944, F1=0.6850
[2026-02-13 22:15:49] Epoch 257/300 | Train Loss=1.2135, Acc=0.6861, F1=0.6817 | Dev Loss=1.1888, Acc=0.6875, F1=0.6778
[2026-02-13 22:15:54] Epoch 258/300 | Train Loss=1.2073, Acc=0.6917, F1=0.6881 | Dev Loss=1.1876, Acc=0.7000, F1=0.6907
[2026-02-13 22:15:58] Epoch 259/300 | Train Loss=1.1997, Acc=0.6910, F1=0.6875 | Dev Loss=1.1873, Acc=0.7083, F1=0.7017BEST
[2026-02-13 22:16:03] Epoch 260/300 | Train Loss=1.2065, Acc=0.6965, F1=0.6925 | Dev Loss=1.1826, Acc=0.6972, F1=0.6886
[2026-02-13 22:16:07] Epoch 261/300 | Train Loss=1.1970, Acc=0.6993, F1=0.6958 | Dev Loss=1.1821, Acc=0.7111, F1=0.7052BEST
[2026-02-13 22:16:12] Epoch 262/300 | Train Loss=1.2078, Acc=0.6882, F1=0.6848 | Dev Loss=1.1807, Acc=0.7042, F1=0.6974
[2026-02-13 22:16:16] Epoch 263/300 | Train Loss=1.2037, Acc=0.6934, F1=0.6898 | Dev Loss=1.1847, Acc=0.7042, F1=0.6979
[2026-02-13 22:16:21] Epoch 264/300 | Train Loss=1.1935, Acc=0.7007, F1=0.6968 | Dev Loss=1.1772, Acc=0.7014, F1=0.6949
[2026-02-13 22:16:26] Epoch 265/300 | Train Loss=1.1955, Acc=0.7035, F1=0.7008 | Dev Loss=1.1765, Acc=0.6958, F1=0.6881
[2026-02-13 22:16:30] Epoch 266/300 | Train Loss=1.1974, Acc=0.6920, F1=0.6895 | Dev Loss=1.1761, Acc=0.6931, F1=0.6837
[2026-02-13 22:16:35] Epoch 267/300 | Train Loss=1.1878, Acc=0.7035, F1=0.7002 | Dev Loss=1.1731, Acc=0.7000, F1=0.6921
[2026-02-13 22:16:40] Epoch 268/300 | Train Loss=1.1933, Acc=0.6917, F1=0.6874 | Dev Loss=1.1772, Acc=0.6931, F1=0.6843
[2026-02-13 22:16:44] Epoch 269/300 | Train Loss=1.1986, Acc=0.6913, F1=0.6877 | Dev Loss=1.1703, Acc=0.7056, F1=0.7000
[2026-02-13 22:16:49] Epoch 270/300 | Train Loss=1.1816, Acc=0.7056, F1=0.7019 | Dev Loss=1.1676, Acc=0.7056, F1=0.6987
[2026-02-13 22:16:53] Epoch 271/300 | Train Loss=1.1997, Acc=0.6920, F1=0.6884 | Dev Loss=1.1698, Acc=0.7014, F1=0.6925
[2026-02-13 22:16:58] Epoch 272/300 | Train Loss=1.1923, Acc=0.6955, F1=0.6925 | Dev Loss=1.1665, Acc=0.7097, F1=0.7043
[2026-02-13 22:17:03] Epoch 273/300 | Train Loss=1.1895, Acc=0.6865, F1=0.6833 | Dev Loss=1.1712, Acc=0.7014, F1=0.6920
[2026-02-13 22:17:07] Epoch 274/300 | Train Loss=1.1803, Acc=0.6934, F1=0.6902 | Dev Loss=1.1655, Acc=0.7153, F1=0.7110BEST
[2026-02-13 22:17:12] Epoch 275/300 | Train Loss=1.1823, Acc=0.6965, F1=0.6925 | Dev Loss=1.1685, Acc=0.7153, F1=0.7105
[2026-02-13 22:17:17] Epoch 276/300 | Train Loss=1.1893, Acc=0.6993, F1=0.6963 | Dev Loss=1.1654, Acc=0.7097, F1=0.7048
[2026-02-13 22:17:21] Epoch 277/300 | Train Loss=1.1838, Acc=0.7038, F1=0.7015 | Dev Loss=1.1624, Acc=0.7042, F1=0.6952
[2026-02-13 22:17:26] Epoch 278/300 | Train Loss=1.1854, Acc=0.7000, F1=0.6968 | Dev Loss=1.1628, Acc=0.7125, F1=0.7073
[2026-02-13 22:17:30] Epoch 279/300 | Train Loss=1.1837, Acc=0.6955, F1=0.6920 | Dev Loss=1.1647, Acc=0.7056, F1=0.6981
